home_team,away_team,home_score,away_score,neutral
México,Estados Unidos,1,2,1
Estados Unidos,Colombia,1,5,0
Argentina,Brasil,2,0,1
Brasil,México,0,1,1
Colombia,Alemania,3,2,0
España,Brasil,0,1,0
Alemania,Francia,1,2,0
México,Argentina,2,0,1
Francia,Chile,3,2,0
Argentina,Ecuador,1,0,1
Philippines,Myanmar,5,1,0
China,Thailand,0,0,0
Cambodia,Hong Kong,2,0,0
Indonesia,Mozambique,1,0,0
Kyrgyz Republic,Palestine,0,0,0
Armenia,Moldova,1,1,0
Ethiopia,Malawi,1,1,0
Congo DR,Chile,1,2,0
Equatorial Guinea,Comoros,0,1,0
Belarus,Burkina Faso,2,2,0
Angola,Central African Republic,3,0,0
Hungary,Kazakhstan,3,1,0
Russia,Trinidad and Tobago,3,0,0
Azerbaijan,San Marino,2,1,0
Togo,Benin,5,1,0
Liberia,Sierra Leone,3,1,0
Saudi Arabia,Senegal,0,0,0
Argentina,Iceland,3,0,0
Iraq,Venezuela,0,2,0
